Pos,Team,Players,Rating,Career Best Rating,event,type
7,IRELAND,Harry TECTOR,723,729 V ZIMBABWE AT HARARE 2023,ODI,Batter
8,ENGLAND,Dawid MALAN,707,730 V NETHERLANDS AT PUNE 2023,ODI,Batter
9,SOUTH AFRICA,Rassie VAN DER DUSSEN,701,796 V ENGLAND AT DURHAM 2022,ODI,Batter
10,SOUTH AFRICA,Heinrich KLAASEN,697,757 V BANGLADESH AT MUMBAI 2023,ODI,Batter
11,INDIA,Shreyas IYER,689,710 V NEW ZEALAND AT MUMBAI 2023,ODI,Batter
12,AFGHANISTAN,Ibrahim ZADRAN,684,692 V AUSTRALIA AT MUMBAI 2023,ODI,Batter
13,PAKISTAN,Fakhar ZAMAN,682,784 V NEW ZEALAND AT RAWALPINDI 2023,ODI,Batter
14,WEST INDIES,Shai HOPE,676,802 V BANGLADESH AT MALAHIDE 2019,ODI,Batter
15,PAKISTAN,IMAM-UL-HAQ,672,815 V WEST INDIES AT MULTAN 2022,ODI,Batter
16,INDIA,KL RAHUL,666,674 V SOUTH AFRICA AT GQEBERHA 2023,ODI,Batter
17,SOUTH AFRICA,David MILLER,654,673 V AUSTRALIA AT KOLKATA 2023,ODI,Batter
18,AUSTRALIA,Travis HEAD,654,679 V INDIA AT AHMEDABAD 2023,ODI,Batter
19,AUSTRALIA,Steve SMITH,644,740 V PAKISTAN AT SYDNEY 2017,ODI,Batter
20,SRI LANKA,Charith ASALANKA,639,654 V ZIMBABWE AT COLOMBO (RPS) 2024,ODI,Batter
21,AUSTRALIA,Marnus LABUSCHAGNE,626,631 V ENGLAND AT AHMEDABAD 2023,ODI,Batter
22,SOUTH AFRICA,Aiden MARKRAM,623,657 V NEW ZEALAND AT PUNE 2023,ODI,Batter
23,AFGHANISTAN,Rahmanullah GURBAZ,622,644 V PAKISTAN AT CHENNAI 2023,ODI,Batter
24,NETHERLANDS,Scott EDWARDS,618,644 V BANGLADESH AT KOLKATA 2023,ODI,Batter
25,NAMIBIA,Gerhard ERASMUS,614,618 V UNITED ARAB EMIRATES AT NAMIBIA 2023,ODI,Batter
26,IRELAND,Paul STIRLING,608,698 V NETHERLANDS AT UTRECHT 2021,ODI,Batter
27,AUSTRALIA,Glenn MAXWELL,600,728 V INDIA AT CANBERRA 2016,ODI,Batter
28,SRI LANKA,Pathum NISSANKA,599,646 V AFGHANISTAN AT PUNE 2023,ODI,Batter
29,ENGLAND,Jos BUTTLER,597,731 V WEST INDIES AT SOUTHAMPTON 2019,ODI,Batter
30,PAKISTAN,Mohammad RIZWAN,597,602 V AUSTRALIA AT BENGALURU 2023,ODI,Batter
31,SOUTH AFRICA,Temba BAVUMA,596,691 V AUSTRALIA AT POTCHEFSTROOM 2023,ODI,Batter
32,BANGLADESH,Mushfiqur RAHIM,594,739 V SRI LANKA AT MIRPUR 2021,ODI,Batter
33,NEW ZEALAND,Tom LATHAM,589,657 V PAKISTAN AT KARACHI 2023,ODI,Batter
34,ZIMBABWE,Sikandar RAZA,587,627 V INDIA AT HARARE 2022,ODI,Batter
35,AFGHANISTAN,Rahmat SHAH,586,635 V SRI LANKA AT PALLEKELE 2022,ODI,Batter
36,NEW ZEALAND,Kane WILLIAMSON,583,792 V SOUTH AFRICA AT CENTURION 2015,ODI,Batter
37,NEW ZEALAND,Will YOUNG,580,581 V BANGLADESH AT NELSON 2023,ODI,Batter
38,ENGLAND,Ben STOKES,576,684 V NEW ZEALAND AT LORD'S 2019,ODI,Batter
39,ENGLAND,Jonny BAIRSTOW,573,796 V INDIA AT PUNE 2021,ODI,Batter
40,ENGLAND,Jason ROY,569,773 V AUSTRALIA AT EDGBASTON 2019,ODI,Batter
41,ENGLAND,Joe ROOT,565,816 V SRI LANKA AT DAMBULLA 2018,ODI,Batter
42,WEST INDIES,Nicholas POORAN,565,634 V IRELAND AT GRENADA 2020,ODI,Batter
43,SRI LANKA,Kusal MENDIS,563,625 V ZIMBABWE AT GALLE 2017,ODI,Batter
44,NEW ZEALAND,Devon CONWAY,562,603 V BANGLADESH AT CHENNAI 2023,ODI,Batter
45,AUSTRALIA,Mitchell MARSH,560,635 V NEW ZEALAND AT CANBERRA 2016,ODI,Batter
46,BANGLADESH,Shakib AL HASAN,554,683 V PAKISTAN AT LORD'S 2019,ODI,Batter
47,SRI LANKA,Sadeera SAMARAWICKRAMA,547,549 V AFGHANISTAN AT PUNE 2023,ODI,Batter
48,AFGHANISTAN,Hashmatullah SHAHIDI,537,549 V NETHERLANDS AT LUCKNOW 2023,ODI,Batter
49,PAPUA NEW GUINEA,Assad VALA,536,550 V NEPAL AT DUBAI 2023,ODI,Batter
50,BANGLADESH,Najmul HOSSAIN SHANTO,536,536 V NEW ZEALAND AT NAPIER 2023,ODI,Batter
51,INDIA,Ishan KISHAN,534,625 V SRI LANKA AT COLOMBO (RPS) 2023,ODI,Batter
52,ZIMBABWE,Sean WILLIAMS,533,571 V SRI LANKA AT BULAWAYO 202,ODI,Batter
53,NEW ZEALAND,Rachin RAVINDRA,532,560 V SRI LANKA AT BENGALURU 2023,ODI,Batter
54,BANGLADESH,Litton DAS,530,627 V ZIMBABWE AT HARARE 2022,ODI,Batter
55,BANGLADESH,MAHMUDULLAH,529,595 V INDIA AT MIRPUR 2022,ODI,Batter
56,SCOTLAND,George MUNSEY,529,587 V NAMIBIA AT GLASGOW 2022,ODI,Batter
57,IRELAND,Andy BALBIRNIE,527,585 V SOUTH AFRICA AT MALAHIDE 2021,ODI,Batter
58,UNITED ARAB EMIRATES,Vriitya ARAVIND,518,538 V OMAN AT BULAWAYO 2023,ODI,Batter
59,USA,Gajanand SINGH,512,512 V UNITED ARAB EMIRATES AT HARARE 2023,ODI,Batter
60,USA,Aaron JONES,510,540 V PAPUA NEW GUINEA AT NAMIBIA 2023,ODI,Batter
61,BANGLADESH,Tamim IQBAL,507,728 V WEST INDIES AT ST KITTS 2018,ODI,Batter
62,SCOTLAND,Kyle COETZER,506,678 V PAPUA NEW GUINEA AT ABERDEEN 2019,ODI,Batter
63,NETHERLANDS,Max O'DOWD,506,517 V WEST INDIES AT HARARE 2023,ODI,Batter
64,AUSTRALIA,Alex CAREY,506,669 V WEST INDIES AT BARBADOS 2021,ODI,Batter
65,OMAN,Aqib ILYAS,501,584 V USA AT KIRTIPUR,ODI,Batter
66,UNITED ARAB EMIRATES,Muhammad WASEEM,500,511 V SRI LANKA AT BULAWAYO 2023,ODI,Batter
67,SCOTLAND,Richie BERRINGTON,496,555 V USA AT TEXAS 2022,ODI,Batter
68,USA,Monank PATEL,493,554 V PAPUA NEW GUINEA AT NAMIBIA 2022,ODI,Batter
69,OMAN,Zeeshan MAQSOOD,487,514 V IRELAND AT BULAWAYO 2023,ODI,Batter
70,SCOTLAND,Michael LEASK,484,491 V ZIMBABWE AT BULAWAYO 2023,ODI,Batter
71,NEW ZEALAND,Glenn PHILLIPS,481,496 V INDIA AT MUMBAI 2023,ODI,Batter
72,NEPAL,Aasif SHEIKH,479,496 V PAPUA NEW GUINEA AT KIRTIPUR,ODI,Batter
73,IRELAND,Curtis CAMPHER,476,476 V ZIMBABWE AT HARARE 2023,ODI,Batter
74,OMAN,Ayaan KHAN,476,476 V WEST INDIES AT HARARE 2023,ODI,Batter
75,UNITED ARAB EMIRATES,Asif KHAN,476,476 V USA AT HARARE 2023,ODI,Batter
76,AFGHANISTAN,Azmatullah OMARZAI,469,469 V SOUTH AFRICA AT AHMEDABAD 2023,ODI,Batter
77,OMAN,Kashyap PRAJAPATI,464,464 V WEST INDIES AT HARARE 2023,ODI,Batter
78,NEW ZEALAND,Henry NICHOLLS,463,596 V BANGLADESH AT DUNEDIN 2021,ODI,Batter
79,USA,Steven TAYLOR,462,501 V JERSEY AT NAMIBIA 2023,ODI,Batter
80,NEPAL,Rohit PAUDEL,461,519 V PAPUA NEW GUINEA AT DUBAI 2023,ODI,Batter
81,ZIMBABWE,Craig ERVINE,460,522 V AFGHANISTAN AT BULAWAYO 2015,ODI,Batter
82,AFGHANISTAN,Najibullah ZADRAN,460,555 V SRI LANKA AT HAMBANTOTA 2023,ODI,Batter
83,AFGHANISTAN,Mohammad NABI,459,550 V BANGLADESH AT MIRPUR 2016,ODI,Batter
84,NAMIBIA,Michael VAN LINGEN,457,465 V UNITED ARAB EMIRATES AT NAMIBIA 2023,ODI,Batter
85,SOUTH AFRICA,Tony DE ZORZI,456,456 V INDIA AT PAARL 2023,ODI,Batter
86,OMAN,Jatinder SINGH,453,506 V UNITED ARAB EMIRATES AT KATHMANDU,ODI,Batter
87,IRELAND,George DOCKRELL,452,460 V ZIMBABWE AT HARARE 2023,ODI,Batter
88,PAKISTAN,Iftikhar AHMED,448,457 V NEW ZEALAND AT BENGALURU 2023,ODI,Batter
89,INDIA,Shikhar DHAWAN,447,807 V PAKISTAN AT DUBAI 2018,ODI,Batter
90,BANGLADESH,Towhid HRIDOY,447,452 V NEW ZEALAND AT DUNEDIN 2023,ODI,Batter
91,SCOTLAND,Brandon MCMULLEN,445,445 V NETHERLANDS AT BULAWAYO 2023,ODI,Batter
92,WEST INDIES,Brandon KING,444,471 V OMAN AT HARARE 2023,ODI,Batter
93,INDIA,Hardik PANDYA,438,561 V SRI LANKA AT COLOMBO (RPS) 2021,ODI,Batter
94,PAKISTAN,Haris SOHAIL,434,618 V ZIMBABWE AT RAWALPINDI 2020,ODI,Batter
95,NETHERLANDS,Teja NIDAMANURU,434,443 V WEST INDIES AT HARARE 2023,ODI,Batter
96,NETHERLANDS,Vikramjit SINGH,432,467 V PAKISTAN AT HYDERABAD 2023,ODI,Batter
97,NEPAL,Kushal BHURTEL,432,432 V INDIA AT PALLEKELE 2023,ODI,Batter
98,PAPUA NEW GUINEA,Tony URA,431,444 V NAMIBIA AT LAUDERHILL 2019,ODI,Batter
