Pos,Team,Players,Rating,Career Best Rating,event,type
15,AFGHANISTAN,Mujeeb UR RAHMAN,632,745 V IRELAND AT GREATER NOIDA 2020,T20,Bowler
16,AUSTRALIA,Adam ZAMPA,631,743 V SRI LANKA AT SYDNEY 2022,T20,Bowler
17,ENGLAND,Sam CURRAN,630,688 V PAKISTAN AT MELBOURNE 2022,T20,Bowler
18,WEST INDIES,Alzarri JOSEPH,621,646 V ENGLAND AT GRENADA 2023,T20,Bowler
19,NEW ZEALAND,Ish SODHI,619,732 V PAKISTAN AT WELLINGTON 2018,T20,Bowler
20,PAKISTAN,Haris RAUF,615,657 V NEW ZEALAND AT LAHORE 2023,T20,Bowler
21,PAKISTAN,Shaheen AFRIDI,613,634 V AUSTRALIA AT LAHORE 2022,T20,Bowler
22,SOUTH AFRICA,Keshav MAHARAJ,610,662 V INDIA AT INDORE 2022,T20,Bowler
23,INDIA,Arshdeep SINGH,607,635 V WEST INDIES AT TRINIDAD 2023,T20,Bowler
24,BANGLADESH,Mustafizur RAHMAN,605,695 V SRI LANKA AT COLOMBO (RPS) 2017,T20,Bowler
25,WEST INDIES,Jason HOLDER,582,588 V ENGLAND AT GRENADA 2023,T20,Bowler
26,BANGLADESH,Shakib AL HASAN,580,673 V PAKISTAN AT MIRPUR 2014,T20,Bowler
27,PAKISTAN,Shadab KHAN,578,768 V SCOTLAND AT EDINBURGH 2018,T20,Bowler
28,INDIA,Kuldeep YADAV,578,730 V NEW ZEALAND AT HAMILTON 2019,T20,Bowler
29,BANGLADESH,Mahedi HASAN,576,632 V WEST INDIES AT GUYANA 2022,T20,Bowler
30,SOUTH AFRICA,Wayne PARNELL,549,577 V WEST INDIES AT JOHANNESBURG 2023,T20,Bowler
31,AUSTRALIA,Nathan ELLIS,544,544 V INDIA AT BENGALURU 2023,T20,Bowler
32,PAKISTAN,Mohammad WASIM,539,609 V SOUTH AFRICA AT SYDNEY 2022,T20,Bowler
33,BANGLADESH,Taskin AHMED,525,558 V AFGHANISTAN AT SYLHET 2023,T20,Bowler
34,SCOTLAND,Mark WATT,519,603 V NEW ZEALAND AT DUBAI 2021,T20,Bowler
35,ENGLAND,Chris WOAKES,518,580 V PAKISTAN AT MELBOURNE 2022,T20,Bowler
36,BANGLADESH,Nasum AHMED,518,637 V AFGHANISTAN AT MIRPUR 2022,T20,Bowler
37,SOUTH AFRICA,Kagiso RABADA,506,596 V WEST INDIES AT NAGPUR 2016,T20,Bowler
38,ENGLAND,Mark WOOD,500,610 V SRI LANKA AT CARDIFF 2021,T20,Bowler
39,PAKISTAN,Naseem SHAH,499,578 V AFGHANISTAN AT SHARJAH 2023,T20,Bowler
40,INDIA,Bhuvneshwar KUMAR,498,682 V AFGHANISTAN AT DUBAI 2022,T20,Bowler
41,WEST INDIES,Romario SHEPHERD,498,518 V ENGLAND AT BARBADOS 2023,T20,Bowler
42,ZIMBABWE,Richard NGARAVA,492,526 V NAMIBIA AT NAMIBIA 2023,T20,Bowler
43,BANGLADESH,Hasan MAHMUD,492,529 V IRELAND AT CHITTAGONG 2023,T20,Bowler
44,NEW ZEALAND,Matt HENRY,490,490 V PAKISTAN AT CHRISTCHURCH 2024,T20,Bowler
45,IRELAND,Joshua LITTLE,485,528 V NEW ZEALAND AT ADELAIDE 2022,T20,Bowler
46,AUSTRALIA,Pat CUMMINS,484,619 V ENGLAND AT CARDIFF 2015,T20,Bowler
47,NEW ZEALAND,Trent BOULT,484,653 V SRI LANKA AT SYDNEY 2022,T20,Bowler
48,UNITED ARAB EMIRATES,Aayan KHAN,482,482 V AFGHANISTAN AT SHARJAH 2024,T20,Bowler
49,SOUTH AFRICA,Lungi NGIDI,478,568 V PAKISTAN AT SYDNEY 2022,T20,Bowler
50,NEW ZEALAND,Lockie FERGUSON,477,579 V WEST INDIES AT JAMAICA 2022,T20,Bowler
51,ENGLAND,Chris JORDAN,475,659 V NEW ZEALAND AT WELLINGTON 2019,T20,Bowler
52,PAKISTAN,Mohammad NAWAZ,475,560 V ENGLAND AT LAHORE 2022,T20,Bowler
53,INDIA,Yuzvendra CHAHAL,475,706 V BANGLADESH AT COLOMBO (RPS) 2018,T20,Bowler
54,NETHERLANDS,Fred KLAASSEN,473,473 V SOUTH AFRICA AT ADELAIDE 2022,T20,Bowler
55,SRI LANKA,Lahiru KUMARA,470,501 V ENGLAND AT SYDNEY 2022,T20,Bowler
56,WEST INDIES,Obed MCCOY,468,567 V INDIA AT ST KITTS 2022,T20,Bowler
57,INDIA,Ravichandran ASHWIN,466,766 V SRI LANKA AT VISAKHAPATNAM 2016,T20,Bowler
58,AFGHANISTAN,NAVEEN-UL-HAQ,465,535 V UNITED ARAB EMIRATES AT ABU DHABI 2023,T20,Bowler
59,NEW ZEALAND,Adam MILNE,463,663 V PAKISTAN AT MOHALI 2016,T20,Bowler
60,IRELAND,Mark ADAIR,463,569 V NAMIBIA AT DUBAI 2019,T20,Bowler
61,NAMIBIA,Bernard SCHOLTZ,462,521 V ZIMBABWE AT NAMIBIA 2023,T20,Bowler
62,BANGLADESH,Shoriful ISLAM,462,513 V WEST INDIES AT DOMINICA 2022,T20,Bowler
63,NETHERLANDS,Paul VAN MEEKEREN,457,541 V IRELAND AT ROTTERDAM 2018,T20,Bowler
64,UNITED ARAB EMIRATES,Zahoor KHAN,454,501 V NEW ZEALAND AT DUBAI 2023,T20,Bowler
65,INDIA,Hardik PANDYA,446,544 V WEST INDIES AT GUYANA 2023,T20,Bowler
66,UNITED ARAB EMIRATES,Ali NASEER,441,441 V AFGHANISTAN AT SHARJAH 2024,T20,Bowler
67,SRI LANKA,Dushmantha CHAMEERA,438,555 V INDIA AT COLOMBO (RPS) 2021,T20,Bowler
68,SRI LANKA,Chamika KARUNARATNE,438,500 V AUSTRALIA AT PERTH 2022,T20,Bowler
69,SCOTLAND,Safyaan SHARIF,429,483 V ZIMBABWE AT EDINBURGH 2021,T20,Bowler
70,NEW ZEALAND,Michael BRACEWELL,429,548 V INDIA AT LUCKNOW 2023,T20,Bowler
71,ZIMBABWE,Sikandar RAZA,426,430 V SRI LANKA AT COLOMBO (RPS) 2024,T20,Bowler
72,AUSTRALIA,Tanveer SANGHA,420,420 V INDIA AT BENGALURU 2023,T20,Bowler
73,AFGHANISTAN,Mohammad NABI,415,640 V WEST INDIES AT NAGPUR 2016,T20,Bowler
74,UNITED ARAB EMIRATES,Muhammad JAWADULLAH,411,411 V AFGHANISTAN AT SHARJAH 2024,T20,Bowler
75,ZIMBABWE,Tendai CHATARA,410,481 V IRELAND AT HARARE 2023,T20,Bowler
76,ZIMBABWE,Blessing MUZARABANI,410,522 V BANGLADESH AT HARARE 2021,T20,Bowler
77,AUSTRALIA,Jason BEHRENDORFF,407,407 V INDIA AT BENGALURU 2023,T20,Bowler
78,HONG KONG,Ehsan KHAN,405,464 V OMAN AT DUBAI 2019,T20,Bowler
79,OMAN,Bilal KHAN,403,571 V UNITED ARAB EMIRATES AT OMAN 2022,T20,Bowler
80,INDIA,Washington SUNDAR,403,631 V ENGLAND AT AHMEDABAD 2021,T20,Bowler
81,INDIA,Mohammed SIRAJ,402,414 V SOUTH AFRICA AT JOHANNESBURG 2023,T20,Bowler
82,NAMIBIA,JJ SMIT,399,472 V AFGHANISTAN AT ABU DHABI 2021,T20,Bowler
83,WEST INDIES,Sheldon COTTRELL,398,648 V NEW ZEALAND AT AUCKLAND 2020,T20,Bowler
84,AFGHANISTAN,Azmatullah OMARZAI,398,398 V INDIA AT BENGALURU 2024,T20,Bowler
85,INDIA,Mukesh KUMAR,398,398 V AFGHANISTAN AT BENGALURU 2024,T20,Bowler
86,AUSTRALIA,Sean ABBOTT,396,419 V INDIA AT VISAKHAPATNAM 2023,T20,Bowler
87,PAKISTAN,Zaman KHAN,396,396 V NEW ZEALAND AT CHRISTCHURCH 2024,T20,Bowler
88,NAMIBIA,Gerhard ERASMUS,395,430 V ZIMBABWE AT NAMIBIA 2023,T20,Bowler
89,UNITED ARAB EMIRATES,Junaid SIDDIQUE,395,432 V QATAR AT DOHA 2023,T20,Bowler
90,NAMIBIA,Jan FRYLINCK,394,482 V SCOTLAND AT ABU DHABI 2021,T20,Bowler
91,ZIMBABWE,Wellington MASAKADZA,391,469 V IRELAND AT BREADY 2021,T20,Bowler
92,IRELAND,Barry MCCARTHY,389,394 V ZIMBABWE AT HARARE 2023,T20,Bowler
93,WEST INDIES,Odean SMITH,385,460 V ZIMBABWE AT HOBART 2022,T20,Bowler
94,IRELAND,Gareth DELANY,385,413 V AFGHANISTAN AT GREATER NOIDA 2020,T20,Bowler
95,INDIA,Harshal PATEL,383,575 V ENGLAND AT TRENT BRIDGE 2022,T20,Bowler
96,AFGHANISTAN,Karim JANAT,382,530 V IRELAND AT GREATER NOIDA 2020,T20,Bowler
97,IRELAND,Craig YOUNG,377,409 V NEW ZEALAND AT BELFAST 2022,T20,Bowler
98,NETHERLANDS,Roelof VAN DER MERWE,370,512 V PAPUA NEW GUINEA AT DUBAI 2019,T20,Bowler
99,WEST INDIES,Gudakesh MOTIE,367,367 V ENGLAND AT TRINIDAD 2023,T20,Bowler
100,INDIA,Jasprit BUMRAH,364,764 V ENGLAND AT BENGALURU 2017,T20,Bowler
